Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF
2017Q3,,S08000015,,S12000008,,Elective Inpatients,,744,2594,3.48655914,,755,3017,3.99602649,
2017Q4,,S08000015,,S12000008,,Elective Inpatients,,784,2631,3.355867347,,795,3260,4.100628931,
2018Q1,,S08000015,,S12000008,,Elective Inpatients,,684,2156,3.152046784,,710,3002,4.228169014,
2018Q2,,S08000015,,S12000008,,Elective Inpatients,,705,1863,2.642553191,,719,2343,3.258692629,
2018Q3,,S08000015,,S12000008,,Elective Inpatients,,653,1684,2.578866769,,685,2751,4.016058394,
2018Q4,,S08000015,,S12000008,,Elective Inpatients,,705,1892,2.683687943,,722,2396,3.318559557,
2019Q1,,S08000015,,S12000008,,Elective Inpatients,,773,1606,2.077619664,,795,2438,3.066666667,
2019Q2,,S08000015,,S12000008,,Elective Inpatients,,747,1675,2.242302544,,765,2486,3.249673203,
2019Q3,,S08000015,,S12000008,,Elective Inpatients,,651,1963,3.015360983,,680,2635,3.875,
2019Q4,,S08000015,,S12000008,,Elective Inpatients,,637,1876,2.945054945,,660,2526,3.827272727,
2020Q1,,S08000015,,S12000008,,Elective Inpatients,,555,1259,2.268468468,,578,2106,3.643598616,
2020Q2,,S08000015,,S12000008,,Elective Inpatients,,164,372,2.268292683,,160,643,4.01875,
2020Q3,,S08000015,,S12000008,,Elective Inpatients,,350,1097,3.134285714,,360,1458,4.05,
2020Q4,,S08000015,,S12000008,,Elective Inpatients,,401,981,2.44638404,,415,1536,3.701204819,
2021Q1,,S08000015,,S12000008,,Elective Inpatients,,275,879,3.196363636,,280,1387,4.953571429,
2021Q2,,S08000015,,S12000008,,Elective Inpatients,,479,1111,2.319415449,,495,1636,3.305050505,
2021Q3,,S08000015,,S12000008,,Elective Inpatients,,382,1084,2.837696335,,405,1642,4.054320988,
2021Q4,,S08000015,,S12000008,,Elective Inpatients,,407,1094,2.687960688,,420,1641,3.907142857,
2022Q1,,S08000015,,S12000008,,Elective Inpatients,,354,1058,2.988700565,,370,1557,4.208108108,
2022Q2,,S08000015,,S12000008,,Elective Inpatients,,457,1241,2.715536105,,470,1753,3.729787234,
2022Q3,p,S08000015,,S12000008,,Elective Inpatients,,522,1548,2.965517241,,555,2234,4.025225225,
2017Q3,,S08000015,,S08000015,d,Elective Inpatients,,2445,7728,3.160736196,,2466,9750,3.95377129,
2017Q4,,S08000015,,S08000015,d,Elective Inpatients,,2413,8265,3.42519685,,2471,10828,4.382031566,
2018Q1,,S08000015,,S08000015,d,Elective Inpatients,,2188,6013,2.748171846,,2257,8319,3.685866194,
2018Q2,,S08000015,,S08000015,d,Elective Inpatients,,2284,6578,2.880035026,,2333,8880,3.806258037,
2018Q3,,S08000015,,S08000015,d,Elective Inpatients,,2159,5818,2.694766095,,2243,8472,3.777084262,
2018Q4,,S08000015,,S08000015,d,Elective Inpatients,,2224,6056,2.723021583,,2298,9015,3.922976501,
2019Q1,,S08000015,,S08000015,d,Elective Inpatients,,2310,5837,2.526839827,,2351,8050,3.424074862,
2019Q2,,S08000015,,S08000015,d,Elective Inpatients,,2278,5875,2.579016681,,2334,8952,3.835475578,
2019Q3,,S08000015,,S08000015,d,Elective Inpatients,,2175,6216,2.857931034,,2239,8332,3.721304154,
2019Q4,,S08000015,,S08000015,d,Elective Inpatients,,2061,6369,3.090247453,,2114,8620,4.077578051,
2020Q1,,S08000015,,S08000015,d,Elective Inpatients,,1915,5188,2.709138381,,1978,7617,3.850859454,
2020Q2,,S08000015,,S08000015,d,Elective Inpatients,,603,1582,2.623548922,,604,2744,4.543046358,
