year,quarter,nhs_health_board,location,admission_type,episodes,length_of_episode,average_length_of_episode,stays,length_of_stay,average_length_of_stay,pre_post_covid
2017,3,SB0801,D102H,Elective Inpatients,1874,4937,2.634471718,1905,8723,4.579002625,pre
2017,4,SB0801,D102H,Elective Inpatients,1980,5009,2.52979798,2007,9707,4.836571998,pre
2018,1,SB0801,D102H,Elective Inpatients,1983,5157,2.600605144,1950,8999,4.614871795,pre
2018,2,SB0801,D102H,Elective Inpatients,2012,5083,2.526341948,2005,9099,4.538154613,pre
2018,3,SB0801,D102H,Elective Inpatients,2085,4892,2.346282974,2128,9728,4.571428571,pre
2018,4,SB0801,D102H,Elective Inpatients,2111,4825,2.285646613,2138,8671,4.055659495,pre
2019,1,SB0801,D102H,Elective Inpatients,2087,4400,2.108289411,2110,8187,3.880094787,pre
2019,2,SB0801,D102H,Elective Inpatients,1923,4314,2.243369735,1923,8090,4.206968279,pre
2019,3,SB0801,D102H,Elective Inpatients,1860,4305,2.314516129,1876,9167,4.886460554,pre
2019,4,SB0801,D102H,Elective Inpatients,1824,4332,2.375,1875,9611,5.125866667,pre
2020,1,SB0801,D102H,Elective Inpatients,1713,3632,2.120256859,1721,8091,4.701336432,post
2020,2,SB0801,D102H,Elective Inpatients,650,1392,2.141538462,628,4051,6.450636943,post
2020,3,SB0801,D102H,Elective Inpatients,1183,4329,3.659340659,1191,7928,6.6565911,post
2020,4,SB0801,D102H,Elective Inpatients,1681,4132,2.458060678,1701,8064,4.740740741,post
2021,1,SB0801,D102H,Elective Inpatients,1709,4287,2.508484494,1666,7942,4.767106843,post
2021,2,SB0801,D102H,Elective Inpatients,1745,4386,2.513467049,1740,8672,4.983908046,post
2021,3,SB0801,D102H,Elective Inpatients,1623,3963,2.441774492,1618,7979,4.931396786,post
2021,4,SB0801,D102H,Elective Inpatients,1644,4098,2.49270073,1667,7905,4.74205159,post
2022,1,SB0801,D102H,Elective Inpatients,1613,4308,2.670799752,1575,7583,4.814603175,post
2022,2,SB0801,D102H,Elective Inpatients,1633,4259,2.608083282,1644,8168,4.96836983,post
2022,3,SB0801,D102H,Elective Inpatients,1711,4519,2.641145529,1711,7871,4.600233781,post
2017,3,SB0801,SB0801,Elective Inpatients,1874,4937,2.634471718,1905,8723,4.579002625,pre
2017,4,SB0801,SB0801,Elective Inpatients,1980,5009,2.52979798,2007,9707,4.836571998,pre
2018,1,SB0801,SB0801,Elective Inpatients,1983,5157,2.600605144,1950,8999,4.614871795,pre
2018,2,SB0801,SB0801,Elective Inpatients,2012,5083,2.526341948,2005,9099,4.538154613,pre
2018,3,SB0801,SB0801,Elective Inpatients,2085,4892,2.346282974,2128,9728,4.571428571,pre
2018,4,SB0801,SB0801,Elective Inpatients,2111,4825,2.285646613,2138,8671,4.055659495,pre
2019,1,SB0801,SB0801,Elective Inpatients,2087,4400,2.108289411,2110,8187,3.880094787,pre
2019,2,SB0801,SB0801,Elective Inpatients,1923,4314,2.243369735,1923,8090,4.206968279,pre
2019,3,SB0801,SB0801,Elective Inpatients,1860,4305,2.314516129,1876,9167,4.886460554,pre
2019,4,SB0801,SB0801,Elective Inpatients,1824,4332,2.375,1875,9611,5.125866667,pre
2020,1,SB0801,SB0801,Elective Inpatients,1713,3632,2.120256859,1721,8091,4.701336432,post
2020,2,SB0801,SB0801,Elective Inpatients,650,1392,2.141538462,628,4051,6.450636943,post
2020,3,SB0801,SB0801,Elective Inpatients,1183,4329,3.659340659,1191,7928,6.6565911,post
2020,4,SB0801,SB0801,Elective Inpatients,1681,4132,2.458060678,1701,8064,4.740740741,post
2021,1,SB0801,SB0801,Elective Inpatients,1709,4287,2.508484494,1666,7942,4.767106843,post
2021,2,SB0801,SB0801,Elective Inpatients,1745,4386,2.513467049,1740,8672,4.983908046,post
2021,3,SB0801,SB0801,Elective Inpatients,1623,3963,2.441774492,1618,7979,4.931396786,post
2021,4,SB0801,SB0801,Elective Inpatients,1644,4098,2.49270073,1667,7905,4.74205159,post
2022,1,SB0801,SB0801,Elective Inpatients,1613,4308,2.670799752,1575,7583,4.814603175,post
2022,2,SB0801,SB0801,Elective Inpatients,1633,4259,2.608083282,1644,8168,4.96836983,post
2022,3,SB0801,SB0801,Elective Inpatients,1711,4519,2.641145529,1711,7871,4.600233781,post
2017,3,Ayrshire and Arran,S08000015,Elective Inpatients,1533,4314,2.81409002,1576,5806,3.684010152,pre
2017,4,Ayrshire and Arran,S08000015,Elective Inpatients,1462,4225,2.889876881,1552,5727,3.69007732,pre
2018,1,Ayrshire and Arran,S08000015,Elective Inpatients,1300,3684,2.833846154,1369,4675,3.414901388,pre
2018,2,Ayrshire and Arran,S08000015,Elective Inpatients,1405,3936,2.801423488,1471,5268,3.581237254,pre
2018,3,Ayrshire and Arran,S08000015,Elective Inpatients,1361,3551,2.609110948,1445,4811,3.329411765,pre
2018,4,Ayrshire and Arran,S08000015,Elective Inpatients,1451,4083,2.813921433,1532,6135,4.004569191,pre
2019,1,Ayrshire and Arran,S08000015,Elective Inpatients,1569,3479,2.217335883,1622,4670,2.879161529,pre
2019,2,Ayrshire and Arran,S08000015,Elective Inpatients,1513,3828,2.530072703,1584,5278,3.332070707,pre
2019,3,Ayrshire and Arran,S08000015,Elective Inpatients,1350,3827,2.834814815,1428,4674,3.273109244,pre
2019,4,Ayrshire and Arran,S08000015,Elective Inpatients,1298,3596,2.770416025,1362,4709,3.457415565,pre
2020,1,Ayrshire and Arran,S08000015,Elective Inpatients,1178,3194,2.711375212,1237,4506,3.642683913,post
2020,2,Ayrshire and Arran,S08000015,Elective Inpatients,304,813,2.674342105,316,1281,4.053797468,post
2020,3,Ayrshire and Arran,S08000015,Elective Inpatients,719,2373,3.300417246,748,2836,3.79144385,post
2020,4,Ayrshire and Arran,S08000015,Elective Inpatients,680,1657,2.436764706,721,2685,3.723994452,post
2021,1,Ayrshire and Arran,S08000015,Elective Inpatients,316,1033,3.268987342,333,1562,4.690690691,post
2021,2,Ayrshire and Arran,S08000015,Elective Inpatients,777,2102,2.705276705,831,2884,3.470517449,post
2021,3,Ayrshire and Arran,S08000015,Elective Inpatients,571,1816,3.180385289,635,2771,4.363779528,post
2021,4,Ayrshire and Arran,S08000015,Elective Inpatients,712,2252,3.162921348,743,3211,4.32166891,post
2022,1,Ayrshire and Arran,S08000015,Elective Inpatients,577,1937,3.357019064,606,2460,4.059405941,post
2022,2,Ayrshire and Arran,S08000015,Elective Inpatients,795,2309,2.904402516,829,3163,3.81544029,post
2022,3,Ayrshire and Arran,S08000015,Elective Inpatients,941,2612,2.775770457,1007,3579,3.554121152,post
2017,3,Ayrshire and Arran,A210H,Elective Inpatients,665,1879,2.82556391,680,2365,3.477941176,pre
2017,4,Ayrshire and Arran,A210H,Elective Inpatients,709,2101,2.963328632,723,2764,3.822959889,pre
2018,1,Ayrshire and Arran,A210H,Elective Inpatients,657,1930,2.937595129,665,2315,3.481203008,pre
2018,2,Ayrshire and Arran,A210H,Elective Inpatients,660,1911,2.895454545,675,2624,3.887407407,pre
2018,3,Ayrshire and Arran,A210H,Elective Inpatients,625,1861,2.9776,650,2608,4.012307692,pre
2018,4,Ayrshire and Arran,A210H,Elective Inpatients,734,1968,2.68119891,750,2519,3.358666667,pre
2019,1,Ayrshire and Arran,A210H,Elective Inpatients,740,1771,2.393243243,740,2219,2.998648649,pre
2019,2,Ayrshire and Arran,A210H,Elective Inpatients,705,1804,2.558865248,715,2505,3.503496503,pre
2019,3,Ayrshire and Arran,A210H,Elective Inpatients,645,1847,2.863565891,650,2136,3.286153846,pre
2019,4,Ayrshire and Arran,A210H,Elective Inpatients,678,1630,2.404129794,690,2137,3.097101449,pre
2020,1,Ayrshire and Arran,A210H,Elective Inpatients,700,1747,2.495714286,715,2425,3.391608392,post
