nhs_health_board,quarter,percentage_occupancy,year
Ayrshire and Arran,Q1,88.4027803926241,pre 2020
Ayrshire and Arran,Q2,85.81728513480533,pre 2020
Ayrshire and Arran,Q3,85.63911183132306,pre 2020
Ayrshire and Arran,Q4,86.5051067880563,pre 2020
Borders,Q1,82.54831222780754,pre 2020
Borders,Q2,78.68574020002899,pre 2020
Borders,Q3,78.45544671231204,pre 2020
Borders,Q4,80.61060461850666,pre 2020
Dumfries and Galloway,Q1,80.29937291554916,pre 2020
Dumfries and Galloway,Q2,79.10691600221125,pre 2020
Dumfries and Galloway,Q3,77.89957449053269,pre 2020
Dumfries and Galloway,Q4,77.60373209961108,pre 2020
Fife,Q1,86.33069542646093,pre 2020
Fife,Q2,81.97248082768775,pre 2020
Fife,Q3,83.27147298845715,pre 2020
Fife,Q4,84.50011162679009,pre 2020
Forth Valley,Q1,85.93446166442288,pre 2020
Forth Valley,Q2,77.75685783181528,pre 2020
Forth Valley,Q3,80.3366324028655,pre 2020
Forth Valley,Q4,83.00958592717187,pre 2020
Grampian,Q1,71.82632931200216,pre 2020
Grampian,Q2,71.8766629113189,pre 2020
Grampian,Q3,70.77047129019317,pre 2020
Grampian,Q4,69.1561174891154,pre 2020
Greater Glasgow and Clyde,Q1,83.78752416077216,pre 2020
Greater Glasgow and Clyde,Q2,83.9081677196111,pre 2020
Greater Glasgow and Clyde,Q3,82.30481163710988,pre 2020
Greater Glasgow and Clyde,Q4,83.15708203908979,pre 2020
Highland,Q1,72.86056080392966,pre 2020
Highland,Q2,72.12396738009168,pre 2020
Highland,Q3,71.77832772470917,pre 2020
Highland,Q4,71.43073696465613,pre 2020
Lanarkshire,Q1,85.21197365554636,pre 2020
Lanarkshire,Q2,84.10851998660515,pre 2020
Lanarkshire,Q3,84.99028732613841,pre 2020
Lanarkshire,Q4,85.41049699627428,pre 2020
Lothian,Q1,81.05423075137813,pre 2020
Lothian,Q2,79.10507506521748,pre 2020
Lothian,Q3,78.27217418091006,pre 2020
Lothian,Q4,79.10905567270049,pre 2020
Orkney,Q1,77.07261695599254,pre 2020
Orkney,Q2,76.68374070428489,pre 2020
Orkney,Q3,74.70306367904608,pre 2020
Orkney,Q4,72.97511612989328,pre 2020
Shetland,Q1,67.52710928109151,pre 2020
Shetland,Q2,69.5909938519678,pre 2020
Shetland,Q3,67.84908637523199,pre 2020
Shetland,Q4,71.19723965218348,pre 2020
Tayside,Q1,72.42765623868965,pre 2020
Tayside,Q2,71.16742334607574,pre 2020
Tayside,Q3,67.98390325722366,pre 2020
Tayside,Q4,68.70710934600702,pre 2020
Western Isles,Q1,72.22972523196975,pre 2020
Western Isles,Q2,72.06750443599337,pre 2020
Western Isles,Q3,74.64302134561889,pre 2020
Western Isles,Q4,74.10301000056324,pre 2020
Ayrshire and Arran,Q1,83.34829234321163,post 2020
Ayrshire and Arran,Q2,77.63885653956822,post 2020
Ayrshire and Arran,Q3,84.45273168978464,post 2020
Ayrshire and Arran,Q4,82.32492315771995,post 2020
Borders,Q1,76.59226354931515,post 2020
Borders,Q2,76.69595379583416,post 2020
Borders,Q3,77.64797279844807,post 2020
Borders,Q4,75.581980532487,post 2020
Dumfries and Galloway,Q1,75.36227131912325,post 2020
Dumfries and Galloway,Q2,72.26648362043481,post 2020
Dumfries and Galloway,Q3,75.04372322908833,post 2020
Dumfries and Galloway,Q4,75.2576519001488,post 2020
Fife,Q1,76.69053879053025,post 2020
Fife,Q2,65.122624121548,post 2020
Fife,Q3,71.57403073033214,post 2020
Fife,Q4,71.87004206371628,post 2020
Forth Valley,Q1,75.4412265870615,post 2020
Forth Valley,Q2,69.63321125425298,post 2020
Forth Valley,Q3,76.77972588466112,post 2020
Forth Valley,Q4,78.35380471264483,post 2020
Grampian,Q1,69.3826293421052,post 2020
Grampian,Q2,68.29737956340273,post 2020
Grampian,Q3,73.05967190176614,post 2020
Grampian,Q4,69.01290958937848,post 2020
Greater Glasgow and Clyde,Q1,82.98353899624361,post 2020
Greater Glasgow and Clyde,Q2,79.39675145481512,post 2020
Greater Glasgow and Clyde,Q3,82.59575023039251,post 2020
Greater Glasgow and Clyde,Q4,82.68945802242084,post 2020
Highland,Q1,70.04843693117037,post 2020
Highland,Q2,66.49736226541225,post 2020
Highland,Q3,72.09076164866566,post 2020
Highland,Q4,71.18050880520525,post 2020
Lanarkshire,Q1,82.5609578912138,post 2020
Lanarkshire,Q2,77.85293991534918,post 2020
Lanarkshire,Q3,84.90517153004191,post 2020
Lanarkshire,Q4,82.6874123898354,post 2020
Lothian,Q1,76.26183279575494,post 2020
Lothian,Q2,70.53602128896401,post 2020
Lothian,Q3,75.48435782127542,post 2020
Lothian,Q4,76.00710346476151,post 2020
Orkney,Q1,71.37927022482887,post 2020
Orkney,Q2,71.41462570602364,post 2020
Orkney,Q3,71.04022626692762,post 2020
Orkney,Q4,74.4257742063832,post 2020
Shetland,Q1,60.80489426027866,post 2020
Shetland,Q2,54.465413262534824,post 2020
Shetland,Q3,63.924764145202694,post 2020
Shetland,Q4,56.98278342088767,post 2020
Tayside,Q1,66.1265466360657,post 2020
Tayside,Q2,61.81683701876425,post 2020
Tayside,Q3,66.47722914232956,post 2020
Tayside,Q4,65.31001972137805,post 2020
Western Isles,Q1,64.86228352660645,post 2020
Western Isles,Q2,59.305367265138834,post 2020
Western Isles,Q3,64.79322872983508,post 2020
Western Isles,Q4,64.99901914964741,post 2020
