WeekEnding,HB,HBQF,AgeGroup,AgeGroupQF,Sex,SexQF,AdmissionType,AdmissionTypeQF,NumberAdmissions,Average20182019,PercentVariation
20200105,S08000015,,Under 5,,All,d,All,d,89,93,-4.3
20200105,S08000015,,5 - 14,,All,d,All,d,26,33,-21.2
20200105,S08000015,,15 - 44,,All,d,All,d,170,191.5,-11.2
20200105,S08000015,,45 - 64,,All,d,All,d,247,260.5,-5.2
20200105,S08000015,,65 - 74,,All,d,All,d,184,196.5,-6.4
20200105,S08000015,,75 - 84,,All,d,All,d,169,179.5,-5.8
20200105,S08000015,,85 and over,,All,d,All,d,106,128,-17.2
20200105,S08000015,,All ages,d,All,d,All,d,991,1082,-8.4
20200105,S08000015,,All ages,d,Female,,All,d,500,559.5,-10.6
20200105,S08000015,,All ages,d,Male,,All,d,483,513,-5.8
20200105,S08000016,,Under 5,,All,d,All,d,25,28.5,-12.3
20200105,S08000016,,15 - 44,,All,d,All,d,27,33.5,-19.4
20200105,S08000016,,45 - 64,,All,d,All,d,44,51.5,-14.6
20200105,S08000016,,65 - 74,,All,d,All,d,59,45.5,29.7
20200105,S08000016,,75 - 84,,All,d,All,d,65,60,8.3
20200105,S08000016,,85 and over,,All,d,All,d,53,44,20.5
20200105,S08000016,,All ages,d,All,d,All,d,275,270.5,1.7
20200105,S08000016,,All ages,d,Female,,All,d,146,133.5,9.4
20200105,S08000016,,All ages,d,Male,,All,d,124,134.5,-7.8
20200105,S08000017,,Under 5,,All,d,All,d,29,35.5,-18.3
20200105,S08000017,,5 - 14,,All,d,All,d,7,12,-41.7
20200105,S08000017,,15 - 44,,All,d,All,d,64,69.5,-7.9
20200105,S08000017,,45 - 64,,All,d,All,d,89,69,29
20200105,S08000017,,65 - 74,,All,d,All,d,66,70,-5.7
20200105,S08000017,,75 - 84,,All,d,All,d,82,79.5,3.1
20200105,S08000017,,85 and over,,All,d,All,d,56,58.5,-4.3
20200105,S08000017,,All ages,d,All,d,All,d,393,394,-0.3
20200105,S08000017,,All ages,d,Female,,All,d,217,212,2.4
20200105,S08000017,,All ages,d,Male,,All,d,168,177,-5.1
20200105,S08000019,,Under 5,,All,d,All,d,39,67.5,-42.2
20200105,S08000019,,5 - 14,,All,d,All,d,19,24,-20.8
20200105,S08000019,,15 - 44,,All,d,All,d,142,151,-6
20200105,S08000019,,45 - 64,,All,d,All,d,201,222.5,-9.7
20200105,S08000019,,65 - 74,,All,d,All,d,110,188,-41.5
20200105,S08000019,,75 - 84,,All,d,All,d,167,255.5,-34.6
20200105,S08000019,,85 and over,,All,d,All,d,85,180.5,-52.9
20200105,S08000019,,All ages,d,All,d,All,d,763,1089,-29.9
20200105,S08000019,,All ages,d,Female,,All,d,394,569.5,-30.8
20200105,S08000019,,All ages,d,Male,,All,d,362,506,-28.5
20200105,S08000020,,Under 5,,All,d,All,d,119,87,36.8
20200105,S08000020,,5 - 14,,All,d,All,d,60,37.5,60
20200105,S08000020,,15 - 44,,All,d,All,d,195,188,3.7
20200105,S08000020,,45 - 64,,All,d,All,d,259,262.5,-1.3
20200105,S08000020,,65 - 74,,All,d,All,d,186,198,-6.1
20200105,S08000020,,75 - 84,,All,d,All,d,199,227.5,-12.5
20200105,S08000020,,85 and over,,All,d,All,d,146,156,-6.4
20200105,S08000020,,All ages,d,All,d,All,d,1164,1156.5,0.6
20200105,S08000020,,All ages,d,Female,,All,d,589,570,3.3
20200105,S08000020,,All ages,d,Male,,All,d,564,566,-0.4
20200105,S08000022,,Under 5,,All,d,All,d,54,54.5,-0.9
20200105,S08000022,,5 - 14,,All,d,All,d,22,15,46.7
20200105,S08000022,,15 - 44,,All,d,All,d,124,123.5,0.4
20200105,S08000022,,45 - 64,,All,d,All,d,172,168,2.4
20200105,S08000022,,65 - 74,,All,d,All,d,138,126,9.5
20200105,S08000022,,75 - 84,,All,d,All,d,142,129,10.1
20200105,S08000022,,85 and over,,All,d,All,d,92,87,5.7
20200105,S08000022,,All ages,d,All,d,All,d,744,703,5.8
20200105,S08000022,,All ages,d,Female,,All,d,369,367.5,0.4
20200105,S08000022,,All ages,d,Male,,All,d,352,320,10
20200105,S08000024,,Under 5,,All,d,All,d,162,118,37.3
20200105,S08000024,,5 - 14,,All,d,All,d,79,63.5,24.4
20200105,S08000024,,15 - 44,,All,d,All,d,478,384.5,24.3
20200105,S08000024,,45 - 64,,All,d,All,d,527,442,19.2
20200105,S08000024,,65 - 74,,All,d,All,d,343,323,6.2
20200105,S08000024,,75 - 84,,All,d,All,d,365,340.5,7.2
20200105,S08000024,,85 and over,,All,d,All,d,240,228.5,5
20200105,S08000024,,All ages,d,All,d,All,d,2194,1900,15.5
20200105,S08000024,,All ages,d,Female,,All,d,1135,972,16.8
20200105,S08000024,,All ages,d,Male,,All,d,1009,887.5,13.7
20200105,S08000025,,15 - 44,,All,d,All,d,6,6.5,-7.7
20200105,S08000025,,45 - 64,,All,d,All,d,7,3,133.3
20200105,S08000025,,65 - 74,,All,d,All,d,10,7,42.9
20200105,S08000025,,75 - 84,,All,d,All,d,11,11,-0
20200105,S08000025,,85 and over,,All,d,All,d,5,4.5,11.1
20200105,S08000025,,All ages,d,All,d,All,d,40,35,14.3
20200105,S08000025,,All ages,d,Female,,All,d,22,16.5,33.3
20200105,S08000025,,All ages,d,Male,,All,d,17,18.5,-8.1
20200105,S08000026,,15 - 44,,All,d,All,d,6,9.5,-36.8
20200105,S08000026,,45 - 64,,All,d,All,d,6,13,-53.8
20200105,S08000026,,75 - 84,,All,d,All,d,8,7.5,6.7
20200105,S08000026,,All ages,d,All,d,All,d,28,39.5,-29.1
20200105,S08000026,,All ages,d,Female,,All,d,9,16,-43.8
20200105,S08000026,,All ages,d,Male,,All,d,19,20.5,-7.3
20200105,S08000028,,15 - 44,,All,d,All,d,12,11,9.1
20200105,S08000028,,45 - 64,,All,d,All,d,12,20,-40
20200105,S08000028,,65 - 74,,All,d,All,d,14,19,-26.3
20200105,S08000028,,75 - 84,,All,d,All,d,13,18.5,-29.7
20200105,S08000028,,85 and over,,All,d,All,d,13,14,-7.1
20200105,S08000028,,All ages,d,All,d,All,d,66,86,-23.3
20200105,S08000028,,All ages,d,Female,,All,d,36,44,-18.2
20200105,S08000028,,All ages,d,Male,,All,d,28,41,-31.7
20200105,S08000029,,Under 5,,All,d,All,d,73,77,-5.2
20200105,S08000029,,5 - 14,,All,d,All,d,21,22.5,-6.7
20200105,S08000029,,15 - 44,,All,d,All,d,175,171.5,2
20200105,S08000029,,45 - 64,,All,d,All,d,193,210.5,-8.3
20200105,S08000029,,65 - 74,,All,d,All,d,162,155,4.5
20200105,S08000029,,75 - 84,,All,d,All,d,174,158,10.1
20200105,S08000029,,85 and over,,All,d,All,d,116,109,6.4
20200105,S08000029,,All ages,d,All,d,All,d,914,903.5,1.2
20200105,S08000029,,All ages,d,Female,,All,d,473,479,-1.3
20200105,S08000029,,All ages,d,Male,,All,d,433,420.5,3
20200105,S08000030,,Under 5,,All,d,All,d,75,98,-23.5
20200105,S08000030,,5 - 14,,All,d,All,d,40,42.5,-5.9
20200105,S08000030,,15 - 44,,All,d,All,d,209,193.5,8
20200105,S08000030,,45 - 64,,All,d,All,d,233,241.5,-3.5
20200105,S08000030,,65 - 74,,All,d,All,d,182,194.5,-6.4
20200105,S08000030,,75 - 84,,All,d,All,d,227,230,-1.3
20200105,S08000030,,85 and over,,All,d,All,d,173,173,-0
20200105,S08000030,,All ages,d,All,d,All,d,1139,1173,-2.9
20200105,S08000030,,All ages,d,Female,,All,d,563,596.5,-5.6
20200105,S08000030,,All ages,d,Male,,All,d,564,575.5,-2
20200105,S08000031,,Under 5,,All,d,All,d,256,299.5,-14.5
20200105,S08000031,,5 - 14,,All,d,All,d,138,122,13.1
20200105,S08000031,,15 - 44,,All,d,All,d,733,668.5,9.6
20200105,S08000031,,45 - 64,,All,d,All,d,900,913.5,-1.5
20200105,S08000031,,65 - 74,,All,d,All,d,566,601.5,-5.9
20200105,S08000031,,75 - 84,,All,d,All,d,607,667.5,-9.1
20200105,S08000031,,85 and over,,All,d,All,d,396,434.5,-8.9
20200105,S08000031,,All ages,d,All,d,All,d,3596,3707,-3
20200105,S08000031,,All ages,d,Female,,All,d,1899,1951.5,-2.7
20200105,S08000031,,All ages,d,Male,,All,d,1644,1709.5,-3.8
20200105,S08000032,,Under 5,,All,d,All,d,163,189.5,-14
20200105,S08000032,,5 - 14,,All,d,All,d,45,33,36.4
20200105,S08000032,,15 - 44,,All,d,All,d,294,300.5,-2.2
20200105,S08000032,,45 - 64,,All,d,All,d,385,404,-4.7
20200105,S08000032,,65 - 74,,All,d,All,d,312,269.5,15.8
20200105,S08000032,,75 - 84,,All,d,All,d,287,304.5,-5.7
20200105,S08000032,,85 and over,,All,d,All,d,154,146.5,5.1
20200105,S08000032,,All ages,d,All,d,All,d,1640,1647.5,-0.5
20200105,S08000032,,All ages,d,Female,,All,d,820,858,-4.4
20200105,S08000032,,All ages,d,Male,,All,d,738,735.5,0.3
20200105,S92000003,d,Under 5,,All,d,All,d,1088,1152.5,-5.6
20200105,S92000003,d,5 - 14,,All,d,All,d,461,417,10.6
20200105,S92000003,d,15 - 44,,All,d,All,d,2645,2509.5,5.4
20200105,S92000003,d,45 - 64,,All,d,All,d,3328,3329.5,-0
20200105,S92000003,d,65 - 74,,All,d,All,d,2361,2458.5,-4
20200105,S92000003,d,75 - 84,,All,d,All,d,2544,2701,-5.8
20200105,S92000003,d,85 and over,,All,d,All,d,1637,1769,-7.5
20200105,S92000003,d,All ages,d,All,d,All,d,14064,14337,-1.9
20200105,S92000003,d,All ages,d,Female,,All,d,7232,7404,-2.3
20200105,S92000003,d,All ages,d,Male,,All,d,6562,6716,-2.3
20200105,NA,NA,15 - 44,,All,d,All,d,10,7,42.9
20200105,NA,NA,45 - 64,,All,d,All,d,53,48,10.4
20200105,NA,NA,65 - 74,,All,d,All,d,25,61,-59
20200105,NA,NA,75 - 84,,All,d,All,d,28,32.5,-13.8
20200105,NA,NA,All ages,d,All,d,All,d,117,150.5,-22.3
20200105,NA,NA,All ages,d,Female,,All,d,60,58.5,2.6
20200105,NA,NA,All ages,d,Male,,All,d,57,91,-37.4
20200112,S08000015,,Under 5,,All,d,All,d,83,105.5,-21.3
20200112,S08000015,,5 - 14,,All,d,All,d,40,41,-2.4
20200112,S08000015,,15 - 44,,All,d,All,d,191,199,-4
20200112,S08000015,,45 - 64,,All,d,All,d,284,312,-9
20200112,S08000015,,65 - 74,,All,d,All,d,190,213,-10.8
20200112,S08000015,,75 - 84,,All,d,All,d,173,207.5,-16.6
20200112,S08000015,,85 and over,,All,d,All,d,132,98,34.7
20200112,S08000015,,All ages,d,All,d,All,d,1093,1176,-7.1
20200112,S08000015,,All ages,d,Female,,All,d,558,611.5,-8.7
20200112,S08000015,,All ages,d,Male,,All,d,533,563,-5.3
20200112,S08000016,,Under 5,,All,d,All,d,15,21,-28.6
20200112,S08000016,,5 - 14,,All,d,All,d,6,10.5,-42.9
