Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF
2017Q3,"",SB0801,"",D102H,"",Elective Inpatients,"",1874,4937,2.63447171824973,"",1905,8723,4.57900262467192,""
2017Q4,"",SB0801,"",D102H,"",Elective Inpatients,"",1980,5009,2.52979797979798,"",2007,9707,4.83657199800698,""
2018Q1,"",SB0801,"",D102H,"",Elective Inpatients,"",1983,5157,2.60060514372163,"",1950,8999,4.6148717948718,""
2018Q2,"",SB0801,"",D102H,"",Elective Inpatients,"",2012,5083,2.52634194831014,"",2005,9099,4.53815461346633,""
2018Q3,"",SB0801,"",D102H,"",Elective Inpatients,"",2085,4892,2.3462829736211,"",2128,9728,4.57142857142857,""
2018Q4,"",SB0801,"",D102H,"",Elective Inpatients,"",2111,4825,2.28564661297963,"",2138,8671,4.055659494855,""
2019Q1,"",SB0801,"",D102H,"",Elective Inpatients,"",2087,4400,2.10828941063728,"",2110,8187,3.88009478672986,""
2019Q2,"",SB0801,"",D102H,"",Elective Inpatients,"",1923,4314,2.24336973478939,"",1923,8090,4.20696827873115,""
2019Q3,"",SB0801,"",D102H,"",Elective Inpatients,"",1860,4305,2.31451612903226,"",1876,9167,4.886460554371,""
2019Q4,"",SB0801,"",D102H,"",Elective Inpatients,"",1824,4332,2.375,"",1875,9611,5.12586666666667,""
2020Q1,"",SB0801,"",D102H,"",Elective Inpatients,"",1713,3632,2.12025685931115,"",1721,8091,4.7013364323068,""
2020Q2,"",SB0801,"",D102H,"",Elective Inpatients,"",650,1392,2.14153846153846,"",628,4051,6.45063694267516,""
2020Q3,"",SB0801,"",D102H,"",Elective Inpatients,"",1183,4329,3.65934065934066,"",1191,7928,6.65659109991604,""
2020Q4,"",SB0801,"",D102H,"",Elective Inpatients,"",1681,4132,2.45806067816776,"",1701,8064,4.74074074074074,""
2021Q1,"",SB0801,"",D102H,"",Elective Inpatients,"",1709,4287,2.50848449385606,"",1666,7942,4.76710684273709,""
2021Q2,"",SB0801,"",D102H,"",Elective Inpatients,"",1745,4386,2.5134670487106,"",1740,8672,4.98390804597701,""
2021Q3,"",SB0801,"",D102H,"",Elective Inpatients,"",1623,3963,2.44177449168207,"",1618,7979,4.93139678615575,""
2021Q4,"",SB0801,"",D102H,"",Elective Inpatients,"",1644,4098,2.49270072992701,"",1667,7905,4.74205158968206,""
2022Q1,"",SB0801,"",D102H,"",Elective Inpatients,"",1613,4308,2.67079975201488,"",1575,7583,4.81460317460317,""
2022Q2,"",SB0801,"",D102H,"",Elective Inpatients,"",1633,4259,2.60808328230251,"",1644,8168,4.9683698296837,""
2022Q3,p,SB0801,"",D102H,"",Elective Inpatients,"",1711,4519,2.64114552893045,"",1711,7871,4.60023378141438,""
2017Q3,"",SB0801,"",SB0801,d,Elective Inpatients,"",1874,4937,2.63447171824973,"",1905,8723,4.57900262467192,""
2017Q4,"",SB0801,"",SB0801,d,Elective Inpatients,"",1980,5009,2.52979797979798,"",2007,9707,4.83657199800698,""
2018Q1,"",SB0801,"",SB0801,d,Elective Inpatients,"",1983,5157,2.60060514372163,"",1950,8999,4.6148717948718,""
2018Q2,"",SB0801,"",SB0801,d,Elective Inpatients,"",2012,5083,2.52634194831014,"",2005,9099,4.53815461346633,""
2018Q3,"",SB0801,"",SB0801,d,Elective Inpatients,"",2085,4892,2.3462829736211,"",2128,9728,4.57142857142857,""
2018Q4,"",SB0801,"",SB0801,d,Elective Inpatients,"",2111,4825,2.28564661297963,"",2138,8671,4.055659494855,""
2019Q1,"",SB0801,"",SB0801,d,Elective Inpatients,"",2087,4400,2.10828941063728,"",2110,8187,3.88009478672986,""
2019Q2,"",SB0801,"",SB0801,d,Elective Inpatients,"",1923,4314,2.24336973478939,"",1923,8090,4.20696827873115,""
2019Q3,"",SB0801,"",SB0801,d,Elective Inpatients,"",1860,4305,2.31451612903226,"",1876,9167,4.886460554371,""
2019Q4,"",SB0801,"",SB0801,d,Elective Inpatients,"",1824,4332,2.375,"",1875,9611,5.12586666666667,""
2020Q1,"",SB0801,"",SB0801,d,Elective Inpatients,"",1713,3632,2.12025685931115,"",1721,8091,4.7013364323068,""
2020Q2,"",SB0801,"",SB0801,d,Elective Inpatients,"",650,1392,2.14153846153846,"",628,4051,6.45063694267516,""
2020Q3,"",SB0801,"",SB0801,d,Elective Inpatients,"",1183,4329,3.65934065934066,"",1191,7928,6.65659109991604,""
2020Q4,"",SB0801,"",SB0801,d,Elective Inpatients,"",1681,4132,2.45806067816776,"",1701,8064,4.74074074074074,""
2021Q1,"",SB0801,"",SB0801,d,Elective Inpatients,"",1709,4287,2.50848449385606,"",1666,7942,4.76710684273709,""
2021Q2,"",SB0801,"",SB0801,d,Elective Inpatients,"",1745,4386,2.5134670487106,"",1740,8672,4.98390804597701,""
2021Q3,"",SB0801,"",SB0801,d,Elective Inpatients,"",1623,3963,2.44177449168207,"",1618,7979,4.93139678615575,""
2021Q4,"",SB0801,"",SB0801,d,Elective Inpatients,"",1644,4098,2.49270072992701,"",1667,7905,4.74205158968206,""
2022Q1,"",SB0801,"",SB0801,d,Elective Inpatients,"",1613,4308,2.67079975201488,"",1575,7583,4.81460317460317,""
2022Q2,"",SB0801,"",SB0801,d,Elective Inpatients,"",1633,4259,2.60808328230251,"",1644,8168,4.9683698296837,""
2022Q3,p,SB0801,"",SB0801,d,Elective Inpatients,"",1711,4519,2.64114552893045,"",1711,7871,4.60023378141438,""
2017Q3,"",S08000015,"",S08000015,d,Elective Inpatients,"",1533,4314,2.81409001956947,"",1576,5806,3.68401015228426,""
2017Q4,"",S08000015,"",S08000015,d,Elective Inpatients,"",1462,4225,2.88987688098495,"",1552,5727,3.69007731958763,""
2018Q1,"",S08000015,"",S08000015,d,Elective Inpatients,"",1300,3684,2.83384615384615,"",1369,4675,3.41490138787436,""
2018Q2,"",S08000015,"",S08000015,d,Elective Inpatients,"",1405,3936,2.80142348754448,"",1471,5268,3.581237253569,""
2018Q3,"",S08000015,"",S08000015,d,Elective Inpatients,"",1361,3551,2.60911094783248,"",1445,4811,3.32941176470588,""
2018Q4,"",S08000015,"",S08000015,d,Elective Inpatients,"",1451,4083,2.81392143349414,"",1532,6135,4.00456919060052,""
2019Q1,"",S08000015,"",S08000015,d,Elective Inpatients,"",1569,3479,2.21733588272785,"",1622,4670,2.87916152897657,""
2019Q2,"",S08000015,"",S08000015,d,Elective Inpatients,"",1513,3828,2.5300727032386,"",1584,5278,3.33207070707071,""
2019Q3,"",S08000015,"",S08000015,d,Elective Inpatients,"",1350,3827,2.83481481481481,"",1428,4674,3.27310924369748,""
2019Q4,"",S08000015,"",S08000015,d,Elective Inpatients,"",1298,3596,2.77041602465331,"",1362,4709,3.45741556534508,""
2020Q1,"",S08000015,"",S08000015,d,Elective Inpatients,"",1178,3194,2.71137521222411,"",1237,4506,3.642683912692,""
2020Q2,"",S08000015,"",S08000015,d,Elective Inpatients,"",304,813,2.67434210526316,"",316,1281,4.05379746835443,""
2020Q3,"",S08000015,"",S08000015,d,Elective Inpatients,"",719,2373,3.30041724617524,"",748,2836,3.79144385026738,""
2020Q4,"",S08000015,"",S08000015,d,Elective Inpatients,"",680,1657,2.43676470588235,"",721,2685,3.72399445214979,""
2021Q1,"",S08000015,"",S08000015,d,Elective Inpatients,"",316,1033,3.26898734177215,"",333,1562,4.69069069069069,""
2021Q2,"",S08000015,"",S08000015,d,Elective Inpatients,"",777,2102,2.70527670527671,"",831,2884,3.4705174488568,""
2021Q3,"",S08000015,"",S08000015,d,Elective Inpatients,"",571,1816,3.18038528896673,"",635,2771,4.36377952755906,""
2021Q4,"",S08000015,"",S08000015,d,Elective Inpatients,"",712,2252,3.16292134831461,"",743,3211,4.32166890982503,""
2022Q1,"",S08000015,"",S08000015,d,Elective Inpatients,"",577,1937,3.35701906412478,"",606,2460,4.05940594059406,""
2022Q2,"",S08000015,"",S08000015,d,Elective Inpatients,"",795,2309,2.90440251572327,"",829,3163,3.81544028950543,""
2022Q3,p,S08000015,"",S08000015,d,Elective Inpatients,"",941,2612,2.77577045696068,"",1007,3579,3.55412115193645,""
2017Q3,"",S08000015,"",A210H,"",Elective Inpatients,"",665,1879,2.82556390977444,"",680,2365,3.47794117647059,""
2017Q4,"",S08000015,"",A210H,"",Elective Inpatients,"",709,2101,2.96332863187588,"",723,2764,3.82295988934993,""
2018Q1,"",S08000015,"",A210H,"",Elective Inpatients,"",657,1930,2.93759512937595,"",665,2315,3.4812030075188,""
2018Q2,"",S08000015,"",A210H,"",Elective Inpatients,"",660,1911,2.89545454545455,"",675,2624,3.88740740740741,""
2018Q3,"",S08000015,"",A210H,"",Elective Inpatients,"",625,1861,2.9776,"",650,2608,4.01230769230769,""
2018Q4,"",S08000015,"",A210H,"",Elective Inpatients,"",734,1968,2.68119891008174,"",750,2519,3.35866666666667,""
2019Q1,"",S08000015,"",A210H,"",Elective Inpatients,"",740,1771,2.39324324324324,"",740,2219,2.99864864864865,""
2019Q2,"",S08000015,"",A210H,"",Elective Inpatients,"",705,1804,2.55886524822695,"",715,2505,3.5034965034965,""
2019Q3,"",S08000015,"",A210H,"",Elective Inpatients,"",645,1847,2.86356589147287,"",650,2136,3.28615384615385,""
2019Q4,"",S08000015,"",A210H,"",Elective Inpatients,"",678,1630,2.40412979351032,"",690,2137,3.09710144927536,""
2020Q1,"",S08000015,"",A210H,"",Elective Inpatients,"",700,1747,2.49571428571429,"",715,2425,3.39160839160839,""
2020Q2,"",S08000015,"",A210H,"",Elective Inpatients,"",182,432,2.37362637362637,"",185,734,3.96756756756757,""
2020Q3,"",S08000015,"",A210H,"",Elective Inpatients,"",463,1250,2.69978401727862,"",475,1304,2.74526315789474,""
2020Q4,"",S08000015,"",A210H,"",Elective Inpatients,"",473,989,2.09090909090909,"",485,1723,3.55257731958763,""
